Date,strategy_name,y_actual_MLP,y_pred_MLP,y_actual_SGD,y_pred_SGD,y_actual_ABR,y_pred_ABR
2022-07-01,L_GBPUSD_S30_2_580890_F34C951A,4.0,4.927731179663352,4.0,3.9437775094210847,4.0,8.0
2022-07-01,L_GBPUSD_S30_4_697060_FDF8C4AF,0.0,-0.19006831091183377,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S34_1_4050495_1CCF17C8,0.0,0.23140396160908877,0.0,0.0024158188334364125,0.0,0.0
2022-07-01,L_GBPUSD_S34_2_1227018_49061A95,0.0,-0.36179565877618175,0.0,0.013399855344199985,0.0,0.0
2022-07-01,L_GBPUSD_S34_2_5779463_26F91AAB,0.0,-0.008446390033037744,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S34_2_8186248_D8E98BBC,0.0,-0.20366438233849699,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S34_2_9722597_DB736AAF,0.0,-0.39971099441505703,0.0,0.00523106275354199,0.0,0.0
2022-07-01,L_GBPUSD_S34_3_2130541_D1469B50,0.0,-0.14189868472506406,0.0,0.07656833693884225,0.0,0.0
2022-07-01,L_GBPUSD_S34_3_26672_719238E5,0.0,-0.3413066775404201,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S34_3_337024_24655032,0.0,-0.27905473638229134,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S34_3_5369060_803C285A,0.0,-0.29911046328937557,0.0,0.1389925756014888,0.0,0.0
2022-07-01,L_GBPUSD_S34_3_6845667_DC6B39EE,0.0,-0.4498795308124266,0.0,-0.013035650473338713,0.0,0.0
2022-07-01,L_GBPUSD_S34_4_5220014_3EE04BF0,0.0,-0.3077824055517013,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S34_4_8079186_743600CC,0.0,-0.3873822813547666,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_0_1097601_6C61C210,0.0,-0.13412892958330094,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_0_2274825_7A6D0F72,0.0,-0.22318959072569367,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_0_472316_FF546C7E,0.0,-0.08317395620522046,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_1_1080818_1D3D5D86,3.0,-0.13267242722158784,3.0,0.0,3.0,0.0
2022-07-01,L_GBPUSD_S42_1_2515945_2CDE8A9C,0.0,-0.15430438787254477,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_1_518384_153C4268,0.0,-0.0426560445385211,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_2_1172432_88BC73CA,0.0,-0.34069884755435564,0.0,-0.022889651309926574,0.0,0.0
2022-07-01,L_GBPUSD_S42_2_1263481_012B54F7,0.0,-0.221521749596112,0.0,0.015835126606235803,0.0,0.0
