Period,Strategy,net_pnl_change,Grand_Total_Top_10_Divided_by_10,Grand_Total_Bottom_10_Divided_by_10
2023-01,S_GBPUSD_S35_3_9012049_9A8063D9,217.21766073,254.28885777699998,
2023-01,S_GBPUSD_S35_1_3749132_746299E1,198.62423449,254.28885777699998,
2023-01,S_GBPUSD_S43_2_2540157_E8ED90A3,-164.95075264,,-96.14566269299999
2023-01,S_EURUSD_S33_4_6607397_2278A9A2,-137.59429512999998,,-96.14566269299999
2023-01,L_GBPUSD_S42_2_1172432_88BC73CA,-126.03511253,,-96.14566269299999
2023-01,S_EURUSD_S41_2_2481771_CFA13660,-95.97290102000001,,-96.14566269299999
2023-01,S_GBPUSD_S43_1_2620167_C2DD906B,-93.12205673000001,,-96.14566269299999
2023-01,S_GBPUSD_S43_2_667537_26810F2E,-77.53674944,,-96.14566269299999
2023-01,S_GBPUSD_S43_4_776264_A0262E5D,-71.69931997,,-96.14566269299999
2023-01,S_EURUSD_S41_2_1957722_C9BF0F3D,-67.59137353,,-96.14566269299999
2023-01,S_EURUSD_S33_3_6761538_C00ABECC,-64.90742039999999,,-96.14566269299999
2023-01,L_GBPUSD_S34_3_26672_719238E5,-62.04664553999999,,-96.14566269299999
2023-02,S_EURUSD_S33_4_6607397_2278A9A2,310.0936047,202.020153913,
2023-02,S_GBPUSD_S35_1_7791031_A9EA0170,255.00889511999998,202.020153913,
2023-02,S_EURUSD_S41_2_1435660_4B44F5C0,219.40042017000002,202.020153913,
2023-02,S_EURUSD_S33_4_4585430_51A0A4C5,203.73750834,202.020153913,
2023-02,S_GBPUSD_S35_1_9519598_603C0308,197.05395046,202.020153913,
2023-02,S_GBPUSD_S43_1_2620167_C2DD906B,177.76689818,202.020153913,
2023-02,S_EURUSD_S33_3_9645908_9F4E969C,170.87622915,202.020153913,
2023-02,L_GBPUSD_S42_1_1080818_1D3D5D86,168.39019137,202.020153913,
2023-02,S_GBPUSD_S35_4_6042225_C5E9B0ED,162.16519883,202.020153913,
2023-02,L_GBPUSD_S34_3_2130541_D1469B50,155.70864281000001,202.020153913,
2023-02,L_EURUSD_S26_3_153647_5E8BD1C5,-126.54206145,,-54.63781445200001
2023-02,L_EURUSD_S40_3_630091_CBB03EA1,-75.26141655,,-54.63781445200001
2023-02,L_GBPUSD_S42_2_1172432_88BC73CA,-72.62374425,,-54.63781445200001
2023-02,L_GBPUSD_S42_4_1061317_58ADC376,-66.08733983999998,,-54.63781445200001
2023-02,L_GBPUSD_S42_3_1417966_7E821E6D,-49.48632713000001,,-54.63781445200001
