Gmt time,Open,High,Low,Close,Volume
01.02.2000 00:00:00.000,1.61580,1.61770,1.61010,1.61440,218288000000
02.02.2000 00:00:00.000,1.61460,1.61510,1.60250,1.60830,89011000000
03.02.2000 00:00:00.000,1.60820,1.60960,1.59430,1.59750,133516000000
04.02.2000 00:00:00.000,1.59760,1.60200,1.58330,1.59170,122919000000
05.02.2000 00:00:00.000,1.59170,1.59170,1.59170,1.59170,0
06.02.2000 00:00:00.000,1.59170,1.59170,1.59170,1.59170,0
07.02.2000 00:00:00.000,1.58960,1.59920,1.58860,1.59770,197095000000
08.02.2000 00:00:00.000,1.59820,1.61350,1.59700,1.61130,154709000000
09.02.2000 00:00:00.000,1.61160,1.61720,1.60620,1.61630,99607000000
10.02.2000 00:00:00.000,1.61720,1.61780,1.60500,1.60940,235243000000
11.02.2000 00:00:00.000,1.60900,1.61030,1.58730,1.59210,129277000000
12.02.2000 00:00:00.000,1.59210,1.59210,1.59210,1.59210,0
13.02.2000 00:00:00.000,1.59210,1.59210,1.59210,1.59210,0
14.02.2000 00:00:00.000,1.59310,1.59800,1.58560,1.58650,201334000000
15.02.2000 00:00:00.000,1.58630,1.59810,1.58450,1.59620,74175000000
16.02.2000 00:00:00.000,1.59560,1.60870,1.59240,1.60790,154709000000
17.02.2000 00:00:00.000,1.60770,1.61390,1.60250,1.60850,76295000000
18.02.2000 00:00:00.000,1.60830,1.61040,1.59510,1.60110,175902000000
19.02.2000 00:00:00.000,1.60110,1.60110,1.60110,1.60110,0
20.02.2000 00:00:00.000,1.60110,1.60110,1.60110,1.60110,0
21.02.2000 00:00:00.000,1.60110,1.60110,1.60110,1.60110,0
22.02.2000 00:00:00.000,1.60000,1.61970,1.59970,1.61210,245839000000
23.02.2000 00:00:00.000,1.61330,1.61640,1.60180,1.60370,237362000000
24.02.2000 00:00:00.000,1.60340,1.60580,1.59720,1.60050,188618000000
25.02.2000 00:00:00.000,1.60010,1.60110,1.58850,1.59490,237362000000
26.02.2000 00:00:00.000,1.59490,1.59490,1.59490,1.59490,0
27.02.2000 00:00:00.000,1.59490,1.59490,1.59490,1.59490,0
28.02.2000 00:00:00.000,1.59090,1.59750,1.58590,1.59530,201334000000
29.02.2000 00:00:00.000,1.59490,1.60210,1.57750,1.57880,231004000000
01.03.2000 00:00:00.000,1.57850,1.59220,1.57560,1.58630,114442000000
02.03.2000 00:00:00.000,1.58510,1.58850,1.57560,1.57600,178022000000
03.03.2000 00:00:00.000,1.57690,1.58400,1.57540,1.57780,233124000000
04.03.2000 00:00:00.000,1.57780,1.57780,1.57780,1.57780,0
05.03.2000 00:00:00.000,1.57780,1.57780,1.57780,1.57780,0
06.03.2000 00:00:00.000,1.57720,1.58230,1.57130,1.57480,158948000000
07.03.2000 00:00:00.000,1.57450,1.58210,1.56950,1.57960,247959000000
08.03.2000 00:00:00.000,1.58030,1.58730,1.57440,1.58110,231004000000
09.03.2000 00:00:00.000,1.58140,1.58430,1.57800,1.58180,258555000000
10.03.2000 00:00:00.000,1.58250,1.58390,1.57550,1.57610,233124000000
11.03.2000 00:00:00.000,1.57610,1.57610,1.57610,1.57610,0
12.03.2000 00:00:00.000,1.57610,1.57610,1.57610,1.57610,0
13.03.2000 00:00:00.000,1.57600,1.58310,1.57520,1.57870,131397000000
14.03.2000 00:00:00.000,1.57930,1.57980,1.56810,1.57720,116562000000
15.03.2000 00:00:00.000,1.57790,1.57900,1.56990,1.57290,279748000000
16.03.2000 00:00:00.000,1.57270,1.57780,1.56920,1.57530,228885000000
17.03.2000 00:00:00.000,1.57540,1.57690,1.57010,1.57380,247959000000
